state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5
Florida,2017.0,7,0.0893317209106682,28.6305,-82.4497,534.787380952381,734.407,400.8,926.5731343283584,634.5971904761905
Florida,2017.0,8,0.0882252141982864,28.6305,-82.4497,721.0371774193549,2.43875,334.17380952380944,1161.302,527.6054934715821
Florida,2017.0,9,0.0860712633040259,28.6305,-82.4497,728.251090909091,728.251090909091,607.189393939394,1231.7653846153846,728.251090909091
Florida,2018.0,1,0.0857142857142857,28.6305,-82.4497,400.8,926.5731343283584,663.6865671641792,663.6865671641792,663.6865671641792
Florida,2018.0,10,0.086123917118395,28.6305,-82.4497,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2018.0,11,0.085551948051948,28.6305,-82.4497,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2018.0,12,0.0847774203590328,28.6305,-82.4497,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2018.0,2,0.0850409836065573,28.6305,-82.4497,334.17380952380944,1161.302,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2018.0,3,0.0873367159667494,28.6305,-82.4497,607.189393939394,1231.7653846153846,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2018.0,4,0.0855395939688947,28.6305,-82.4497,926.5731343283584,992.8541906041792,992.8541906041792,992.8541906041792,1059.1352468799998
Florida,2018.0,5,0.0884490663088449,28.6305,-82.4497,1161.302,1110.2186234399999,1110.2186234399999,1059.1352468799998,1110.2186234399999
Florida,2018.0,6,0.0887519963495322,28.6305,-82.4497,1231.7653846153846,1145.4503157476922,1145.4503157476922,1059.1352468799998,1145.4503157476922
Florida,2018.0,7,0.0932333296835651,28.6305,-82.4497,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2018.0,8,0.0872133425990271,28.6305,-82.4497,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2018.0,9,0.0836340812804017,28.6305,-82.4497,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2019.0,1,0.0851894859073155,28.6305,-82.4497,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2019.0,2,0.0841054024786427,28.6305,-82.4497,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2019.0,3,0.0878266338841557,28.6305,-82.4497,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998
Florida,2019.0,4,0.0884940486458513,28.6305,-82.4497,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998,1059.1352468799998
Georgia,2016.0,1,0.0962205758229391,32.6415,-83.4426,0.0045555555555555,0.006375,0.026125,0.0866,0.0139999999999999
Georgia,2016.0,10,0.0992026701279436,32.6415,-83.4426,0.0866,0.0139999999999999,1025.641435897436,526.431546875,667.6427878787879
Georgia,2016.0,11,0.0989327146171693,32.6415,-83.4426,0.034,0.0139999999999999,809.5242857142857,687.7585692307692,2.43875
Georgia,2016.0,12,0.0991646456480733,32.6415,-83.4426,0.032,1304.3478260869565,466.72790909090907,690.5829655172413,578.6554373040751
Georgia,2016.0,2,0.0948076923076923,32.6415,-83.4426,0.0045,0.0065555555555555,0.0566,0.034,0.0139999999999999
