Unnamed: 0.1,Unnamed: 0,state,birth_year,birth_month,LBW_ratio,latitude,longitude,mp1,mp2,mp3,mp4,mp5,Degree Farenheit
263,263,Florida,2017,9,0.086071263,28.6305,-82.4497,728.2510909,,607.1893939,1231.765385,,74.5
264,264,Florida,2018,1,0.085714286,28.6305,-82.4497,400.8,926.5731343,,,,55
265,265,Florida,2018,10,0.086123917,28.6305,-82.4497,,,1059.135247,,,73.9
266,266,Florida,2018,11,0.085551948,28.6305,-82.4497,,1059.135247,,,,73.2
267,267,Florida,2018,12,0.08477742,28.6305,-82.4497,,1059.135247,,,,72.3
268,268,Florida,2018,2,0.085040984,28.6305,-82.4497,334.1738095,1161.302,,,1059.135247,62.1
269,269,Florida,2018,3,0.087336716,28.6305,-82.4497,607.1893939,1231.765385,,,1059.135247,62.4
270,270,Florida,2018,4,0.085539594,28.6305,-82.4497,926.5731343,,,,1059.135247,64.4
271,271,Florida,2018,5,0.088449066,28.6305,-82.4497,1161.302,,,1059.135247,,66.8
272,272,Florida,2018,6,0.088751996,28.6305,-82.4497,1231.765385,,,1059.135247,,69.2
273,273,Florida,2018,7,0.09323333,28.6305,-82.4497,,,,1059.135247,,71.1
274,274,Florida,2018,8,0.087213343,28.6305,-82.4497,,,1059.135247,,,72.5
275,275,Florida,2018,9,0.083634081,28.6305,-82.4497,,,1059.135247,,,73.6
276,276,Florida,2019,1,0.085189486,28.6305,-82.4497,,1059.135247,,,,58.4
277,277,Florida,2019,10,0.085810604,28.6305,-82.4497,,,,,,74.9
278,278,Florida,2019,11,0.08786057,28.6305,-82.4497,,,,,,74
279,279,Florida,2019,12,0.086516676,28.6305,-82.4497,,,,,,73.2
280,280,Florida,2019,2,0.084105402,28.6305,-82.4497,1059.135247,,,,,63
281,281,Florida,2019,3,0.087826634,28.6305,-82.4497,1059.135247,,,,,63.9
282,282,Florida,2019,4,0.088494049,28.6305,-82.4497,1059.135247,,,,,65.7
283,283,Florida,2019,5,0.086512415,28.6305,-82.4497,,,,,,68.3
284,284,Florida,2019,6,0.090545155,28.6305,-82.4497,,,,,,70.7
285,285,Florida,2019,7,0.092706385,28.6305,-82.4497,,,,,,72.4
286,286,Florida,2019,8,0.088996602,28.6305,-82.4497,,,,,,73.7
287,287,Florida,2019,9,0.084840343,28.6305,-82.4497,,,,,,74.6
288,288,Florida,2020,1,0.088128507,28.6305,-82.4497,,,,,,61.8
289,289,Florida,2020,10,0.085862774,28.6305,-82.4497,,,,,,75
290,290,Florida,2020,11,0.089712222,28.6305,-82.4497,,,,,,74.6
291,291,Florida,2020,12,0.086141688,28.6305,-82.4497,,,,,,73.2
292,292,Florida,2020,2,0.086475826,28.6305,-82.4497,,,,,,62.7
293,293,Florida,2020,3,0.085947047,28.6305,-82.4497,,,,,,65.5
